"Dutch","Nederlands"
"Request will be send after update statuse to Complete for PAD only", "Verzoek zal verstuurd worden nadat de status is aangepast naar Complete, alleen voor Betaal na Ontvangst"
"Use for refund?", "Refunds toestaan bij het aanmaken van een creditmemo?"
"Enable direct banktransfer (no MultiSafepay page)"", "Activeer de directe bankoverschrijving, de consument zien geen MultiSafepay pagina"
"Send new account email", "Verstuur nieuw account e-mail"
"Send the new account email when a customer account is created after using Fast Checkout", "Verstuur een nieuw account email wanneer een account binnen Magento is aangemaakt door Fast Checkout"
"Automatic login", "Klant automatisch inloggen?"
"Login the customer after returning from Fast Checkout ", "Log de consument in na het terugkeren via Fast Checkout?"
"Let the customer redirect to their account page", "Redirect de consument naar zijn account pagina na een transactie?"
"Company name", "Bedrijfsnaam"
"Birthday", "Geboortedatum"
"Chamber of Commerce (CoC/KvK)", "Kamer van Koophandel"
"VAT number", "B.T.W. nummer"
"Passport number", "Paspoort nummer"
"Drivers license", "Rijbewijs nummer"
"Sex", "Geslacht"
"Cart remains active when the customer returns to the webshop or cancels an order", "De winkelwagen is actief na het annuleren van een transactie"
"Fee in EURO. Example 2.95 (2.95 is the maximum)", "Toeslag in Euro. Bijvoorbeeld 2.95 (2.95 is het maximaal toegestane)"
"Enable fee (inc. Tax)", "Toeslag activeren (Inclusief B.T.W.)"
"Payment fee amount", "Toeslag bedrag"
"Show payment fee incl. tax during checkout", "Toon de toeslag inclusief B.T.W tijdens de checkout"
"Tax class for payment fee", "B.T.W class voor de toeslag"
"Select which tax class should be used for the payment fee", "Selecteer de juiste B.T.W. klasse die gebruikt zal worden bij de toeslag"
"Title", "Titel"
"Enabled", "Activeren"
"Instructions", "Instructies"
"Maximum Order Total", "Maximum Order Totaal"
"Payment fee description, visible in order totals", "Toeslag, zichtbaar in de order totalen"
"Sort order", "Volgorde"
"API Key", "API Sleutel"
"One Step Checkout", "One step checkout"
"Account type", "Account type"
"Minimum Order Total", "Minimum order totaal"
"Send shipped status after complete order", "Zet de transactie status op verzonden zodra de order compleet is"
"Enable", "Activeren"
"Account", "Account"
"Newsletter", "Nieuwsbrief"
"Comment", "Commentaar"
"Type account", "Type account"











